0 0 536
4 133 152
1 33 136
2 66 136
3 100 136
8 266 160
5 166 136
6 200 136
7 233 136
12 400 160
9 300 136
10 333 136
11 366 136
16 533 528
13 433 136
14 466 136
15 500 136
20 666 160
17 566 136
18 600 136
19 633 136
24 800 160
21 700 136
22 733 136
23 766 136
28 933 160
25 833 136
26 866 136
27 900 136
32 1066 528
29 966 136
30 1000 136
31 1033 136
36 1200 160
33 1100 136
34 1133 136
35 1166 136
40 1333 160
37 1233 136
38 1266 136
39 1300 136
44 1466 160
41 1366 136
42 1400 136
43 1433 136
48 1600 528
45 1500 136
46 1533 136
47 1566 136
52 1733 160
49 1633 136
50 1666 136
51 1700 136
56 1866 160
53 1766 136
54 1800 136
55 1833 136
60 2000 160
57 1900 136
58 1933 136
59 1966 136
64 2133 51024
61 2033 448
62 2066 1480
63 2100 7888
68 2266 126792
65 2166 34656
66 2200 34656
67 2233 192
72 2400 141592
69 2300 41704
70 2333 44288
71 2366 224
76 2533 133216
73 2433 35208
74 2466 35720
75 2500 192
80 2666 217848
77 2566 46544
78 2600 51360
79 2633 47600
84 2800 120248
81 2700 41048
82 2733 41048
83 2766 50008
88 2933 138176
85 2833 208
86 2866 57008
87 2900 70192
92 3066 143864
89 2966 65360
90 3000 70952
91 3033 192
96 3200 275664
93 3100 59336
94 3133 69752
95 3166 64472
100 3333 110856
97 3233 68216
98 3266 68216
99 3300 59528
104 3466 126984
101 3366 50480
102 3400 60456
103 3433 672
108 3600 121912
105 3500 52792
106 3533 54512
107 3566 54512
112 3733 280464
109 3633 53240
110 3666 59760
111 3700 58024
116 3866 102040
113 3766 536
114 3800 59072
115 3833 55144
120 4000 118976
117 3900 56952
118 3933 57944
119 3966 57944
124 4133 102936
121 4033 57080
122 4066 57080
123 4100 55440
128 4266 282208
125 4166 49944
126 4200 42680
127 4233 744
132 4400 96856
129 4300 44416
130 4333 48296
131 4366 44416
136 4533 104232
133 4433 43280
134 4466 43280
135 4500 49872
140 4666 85336
137 4566 664
138 4600 46640
139 4633 46288
144 4800 279104
141 4700 50200
142 4733 50048
143 4766 50048
148 4933 111496
145 4833 47976
146 4866 51296
147 4900 52136
152 5066 88720
149 4966 720
150 5000 39864
151 5033 672
156 5200 88608
153 5100 46984
154 5133 47456
155 5166 51080
160 5333 277000
157 5233 59784
158 5266 59784
159 5300 51384
164 5466 107496
161 5366 43320
162 5400 61688
163 5433 520
168 5600 90600
165 5500 51776
166 5533 53024
167 5566 53024
172 5733 96672
169 5633 48976
170 5666 55616
171 5700 48496
176 5866 275512
173 5766 712
174 5800 54576
175 5833 49136
180 6000 99032
177 5900 47808
178 5933 52136
179 5966 52136
184 6133 94736
181 6033 49976
182 6066 49976
183 6100 42880
188 6266 94200
185 6166 49304
186 6200 42064
187 6233 568
192 6400 278184
189 6300 41152
190 6333 43568
191 6366 49784
196 6533 93992
193 6433 37824
194 6466 44920
195 6500 44920
200 6666 86736
197 6566 696
198 6600 38952
199 6633 39096
204 6800 82864
201 6700 48400
202 6733 46680
203 6766 46680
208 6933 272376
205 6833 48984
206 6866 51528
207 6900 38912
212 7066 100056
209 6966 41328
210 7000 41328
211 7033 640
216 7200 89200
213 7100 42848
214 7133 45840
215 7166 50336
220 7333 88296
217 7233 48448
218 7266 48448
219 7300 52008
224 7466 273704
221 7366 51696
222 7400 52584
223 7433 48360
228 7600 89392
225 7500 464
226 7533 45904
227 7566 45904
232 7733 105544
229 7633 49032
230 7666 54992
231 7700 55432
236 7866 92584
233 7766 600
234 7800 57336
235 7833 52816
240 8000 279160
237 7900 50608
238 7933 49864
239 7966 416
244 8133 101000
241 8033 48192
242 8066 48192
243 8100 43648
248 8266 94936
245 8166 45544
246 8200 53448
247 8233 408
252 8400 101168
249 8300 52728
250 8333 67120
251 8366 67192
256 8533 275224
253 8433 49944
254 8466 53488
255 8500 53488
260 8666 110664
257 8566 536
258 8600 47200
259 8633 54032
264 8800 113912
261 8700 51800
262 8733 46048
263 8766 46048
268 8933 135024
265 8833 45208
266 8866 51440
267 8900 48544
272 9066 225792
269 8966 39600
270 9000 39600
271 9033 464
276 9200 145360
273 9100 50360
274 9133 60272
275 9166 50784
280 9333 131312
277 9233 36048
278 9266 36048
279 9300 45376
284 9466 122944
281 9366 40344
282 9400 36304
283 9433 48144
288 9600 99288
285 9500 208
286 9533 18792
287 9566 18792
292 9733 29208
289 9633 21552
290 9666 22944
291 9700 13480
296 9866 12040
293 9766 1032
294 9800 1504
295 9833 1464
300 10000 3216
297 9900 1112
298 9933 136
299 9966 136
304 10133 656
301 10033 160
302 10066 160
303 10100 160
308 10266 160
305 10166 136
306 10200 136
307 10233 136
312 10400 160
309 10300 136
310 10333 136
311 10366 136
316 10533 192
313 10433 136
314 10466 136
315 10500 136
320 10666 528
317 10566 136
318 10600 136
319 10633 136
324 10800 160
321 10700 136
322 10733 136
323 10766 136
328 10933 160
325 10833 136
326 10866 136
327 10900 136
332 11066 160
329 10966 136
330 11000 136
