1	0	-493225110646
2	8816	493729126
3	8921	493729144
4	9032	493729157
5	9132	493729170
6	9231	493730338
7	9335	493730357
8	9434	493730395
9	9533	493730434
10	9631	493730496
11	9730	493730539
12	9832	493730601
13	9942	493730646
14	10047	493730704
15	10161	493730816
16	10259	493730836
17	10362	493730903
18	10463	493730921
19	10579	493731138
20	10675	493731159
21	10770	493731173
22	10872	493731187
23	10969	493731201
24	11064	493731216
25	11163	493731304
26	11258	493731321
27	11360	493731381
28	11459	493732596
29	11553	493732866
30	11647	493733247
31	11743	493733379
32	11841	493733395
33	11944	493733409
34	12043	493733422
35	12144	493733435
36	12243	493733451
37	12342	493733463
38	12442	493733476
39	12539	493733491
40	12636	493733504
41	12732	493733516
42	12830	493733528
43	12936	493733540
44	13034	493733553
45	13132	493733566
46	13229	493733581
47	13326	493733594
48	13428	493733607
49	13523	493735288
50	13616	493735405
51	13708	493735423
52	13799	493735439
53	13896	493735453
54	13992	493735572
55	14085	493735589
56	14177	493735604
57	14268	493735634
58	14367	493735754
59	14458	493735771
60	14618	493735786
61	14713	493735812
62	14806	493735930
63	14898	493735947
64	14994	493735961
65	15089	493735991
66	15179	493736098
67	15269	493736115
68	15363	493736131
69	15528	493736153
70	15662	493736188
71	15794	493736221
72	15931	493736272
73	16080	493736345
74	16224	493736422
75	16397	493736439
76	16564	493737515
77	16743	493737606
78	16922	493737623
79	17108	493737800
80	17266	493737822
81	17465	493737837
82	17607	493737851
83	17744	493737864
84	17890	493738936
85	18037	493738993
86	18177	493739098
87	18317	493739115
88	18456	493739130
89	18621	493739153
90	18786	493739369
91	18939	493739567
92	19106	493739584
93	19252	493739597
94	19398	493739610
95	19544	493739623
96	19686	493740783
97	19830	493740798
98	19968	493740811
99	20121	493740824
100	20269	493740836
