1	0	-493254920212
2	1386	493757354
3	1501	493757366
4	1607	493757376
5	1703	493757414
6	1802	493757455
7	1901	493757466
8	2006	493757476
9	2105	493757486
10	2203	493757496
11	2302	493757506
12	2399	493757518
13	2507	493757529
14	2606	493757539
15	2708	493757549
16	2812	493757558
17	2911	493757568
18	3014	493757578
19	3177	493757588
20	3274	493757598
21	3369	493757608
22	3467	493757617
23	3568	493757626
24	3663	493757635
25	3762	493757645
26	3857	493757655
27	3954	493757667
28	4052	493757677
29	4154	493757687
30	4249	493757696
31	4344	493757705
32	4440	493757714
33	4538	493757724
34	4644	493757733
35	4743	493757743
36	4843	493757752
37	4935	493757761
38	5024	493757770
39	5117	493757780
40	5207	493757789
41	5297	493757800
42	5390	493757810
43	5482	493757819
44	5578	493757828
45	5671	493757837
46	5764	493757846
47	5856	493757855
48	5949	493757864
49	6042	493757874
50	6146	493757883
51	6243	493757892
52	6340	493757901
53	6444	493757910
54	6548	493757920
55	6651	493757931
56	6747	493757941
57	6843	493757950
58	6942	493757959
59	7039	493757968
60	7147	493757978
61	7242	493757988
62	7336	493757997
63	7431	493758007
64	7525	493758016
65	7630	493758025
66	7725	493758606
67	7820	493758668
68	7920	493758769
69	8092	493758781
70	8287	493758791
71	8452	493758814
72	8616	493758839
73	8793	493758865
74	8942	493758890
75	9091	493758925
76	9231	493760080
77	9379	493760095
78	9521	493760106
79	9659	493760174
80	9812	493760278
81	9955	493760295
82	10110	493760311
83	10280	493760337
84	10434	493760374
85	10569	493760415
86	10727	493761606
87	10862	493761624
88	10999	493761655
89	11145	493761691
90	11280	493761726
91	11467	493761752
92	11619	493761776
93	11775	493761800
94	11928	493761824
95	12067	493762925
96	12224	493762958
97	12363	493762991
98	12507	493763024
99	12643	493763056
100	12777	493763090
