     1	    0.001340  1090 
     2	    0.001508   174 
     3	    0.004176   162 
     4	    0.008140   174 
     5	    0.011036   162 
     6	    0.015072   174 
     7	    0.017892   162 
     8	    0.020604   150 
     9	    0.022032   174 
    10	    0.024300    90 
    11	    0.024752   162 
    12	    0.027356   150 
    13	    0.028692   174 
    14	    0.030840    90 
    15	    0.031608   162 
    16	    0.035844   174 
    17	    0.038468   162 
    18	    0.042524   174 
    19	    0.044044   150 
    20	    0.045324   162 
    21	    0.047296    90 
    22	    0.049248   174 
    23	    0.050360   150 
    24	    0.052184   162 
    25	    0.053820    90 
    26	    0.056356   174 
    27	    0.059044   162 
    28	    0.063028   174 
    29	    0.065900   162 
    30	    0.070032   174 
    31	    0.072760   162 
    32	    0.076728   174 
    33	    0.079616   162 
    34	    0.083732   174 
    35	    0.086476   162 
    36	    0.090484   174 
    37	    0.093332   162 
    38	    0.097492   174 
    39	    0.101832   162 
    40	    0.105752   174 
    41	    0.110332   162 
    42	    0.114340   174 
    43	    0.118832   162 
    44	    0.122752   174 
    45	    0.125692   162 
    46	    0.129772   174 
    47	    0.132552   162 
    48	    0.136512   174 
    49	    0.139408   162 
    50	    0.140512   150 
    51	    0.143348   174 
    52	    0.144060    90 
    53	    0.146268   162 
    54	    0.147108   150 
    55	    0.150280   174 
    56	    0.150368    90 
    57	    0.153124   162 
    58	    0.157056   174 
    59	    0.159984   162 
    60	    0.164112   174 
    61	    0.166844   162 
    62	    0.170900   174 
    63	    0.173700   162 
    64	    0.177716   174 
    65	    0.180560   162 
    66	    0.183884   162 
    67	    0.184504   174 
    68	    0.187416   162 
    69	    0.188372    74 
    70	    0.192060   174 
    71	    0.192420   162 
    72	    0.195916   162 
    73	    0.197352    74 
    74	    0.199944   174 
    75	    0.202776   162 
    76	    0.204056    66 
    77	    0.206744   174 
    78	    0.209636   162 
    79	    0.211068  1090 
    80	    0.213024  1090 
    81	    0.213600   174 
    82	    0.214992  1090 
    83	    0.215880  1090 
    84	    0.216944  1090 
    85	    0.217088   162 
    86	    0.218892  1090 
    87	    0.220848  1090 
    88	    0.220932    66 
    89	    0.221088   174 
    90	    0.222700    66 
    91	    0.223948   162 
    92	    0.225600  1090 
    93	    0.227356  1090 
    94	    0.227908   174 
    95	    0.230808   162 
    96	    0.234808   174 
    97	    0.237664   162 
    98	    0.241648   174 
    99	    0.244524   162 
   100	    0.249108  1090 
   101	    0.249272   174 
   102	    0.250376  1090 
   103	    0.251904  1090 
   104	    0.253104  1090 
   105	    0.253252   162 
   106	    0.254348  1090 
   107	    0.255736  1090 
   108	    0.257924   174 
   109	    0.258008    66 
   110	    0.260724  1090 
   111	    0.262444  1090 
   112	    0.262592   162 
   113	    0.267308   174 
   114	    0.271092   162 
   115	    0.271176    66 
   116	    0.275112   174 
   117	    0.275316    66 
   118	    0.277952   162 
   119	    0.281908   174 
   120	    0.294076  1090 
   121	    0.295220  1090 
   122	    0.296692  1090 
   123	    0.297800  1090 
   124	    0.299104  1090 
   125	    0.300300  1090 
   126	    0.302484    66 
   127	    0.304580  1090 
   128	    0.305688  1090 
   129	    0.321908   162 
   130	    0.325828    90 
   131	    0.329888   162 
   132	    0.333212    90 
   133	    0.361956   162 
   134	    0.365908   174 
   135	    0.371488   150 
   136	    0.374912    90 
   137	    0.378068   150 
   138	    0.381456    90 
   139	    0.396568   116 
   140	    0.419628   150 
   141	    0.422604   142 
   142	    0.427136   158 
   143	    0.440040  1458 
   144	    0.459220   150 
   145	    0.462332   142 
   146	    0.466840   158 
   147	    0.485596  1518 
   148	    0.485736   154 
   149	    0.486504   826 
   150	    0.489900   142 
   151	    0.495856   162 
   152	    0.507976  1242 
   153	    0.512644    64 
   154	    0.514396    66 
   155	    0.530968  1090 
   156	    0.535760    66 
   157	    0.550968  1090 
   158	    0.552120  1090 
   159	    0.560224   150 
   160	    0.563544   142 
   161	    0.568056   158 
   162	    0.611888   154 
   163	    0.614964   142 
   164	    0.620368   162 
   165	    0.621656  1518 
   166	    0.623308  1518 
   167	    0.624384  1278 
